name,country,genre,link
2_Wolves,Finland,Gothic Doom/Melodic Death Metal,<a href='https://www.metal-archives.com/bands/2_Wolves/3540341862'>2 Wolves</a>
20_Grit,United States,Heavy Metal/Progressive Hard Rock,<a href='https://www.metal-archives.com/bands/20_Grit/64424'>20 Grit</a>
2000_A.D.,Canada,Doom Metal,<a href='https://www.metal-archives.com/bands/2000_A.D./67051'>2000 A.D.</a>
206%E5%92%8C%E6%80%9D%E6%83%B3%E8%80%85,China,Doom/Black Metal,<a href='https://www.metal-archives.com/bands/206%E5%92%8C%E6%80%9D%E6%83%B3%E8%80%85/41141'>206和思想者</a>
21_Lucifers,Sweden,Thrash/Death Metal,<a href='https://www.metal-archives.com/bands/21_Lucifers/8883'>21 Lucifers</a>
2112,Argentina,Progressive Rock/Heavy Metal,<a href='https://www.metal-archives.com/bands/2112/16700'>2112</a>
21%3A37,Poland,Black Metal,<a href='https://www.metal-archives.com/bands/21%3A37/3540297905'>21:37</a>
21st_Century_Killing_Machine,Germany,Thrash/Death Metal,<a href='https://www.metal-archives.com/bands/21st_Century_Killing_Machine/72319'>21st Century Killing Machine</a>
21st_Century_Sin,United States,Death/Thrash Metal,<a href='https://www.metal-archives.com/bands/21st_Century_Sin/3540280037'>21st Century Sin</a>
220_Volt,Sweden,"Heavy Metal (early), Hard Rock (later)",<a href='https://www.metal-archives.com/bands/220_Volt/90944'>220 Volt</a>
220_Voltios,Paraguay,Heavy Metal,<a href='https://www.metal-archives.com/bands/220_Voltios/3540257474'>220 Voltios</a>
23,Croatia,Heavy Metal,<a href='https://www.metal-archives.com/bands/23/3540338737'>23</a>
23_Roadkill,United States,Groove Metal,<a href='https://www.metal-archives.com/bands/23_Roadkill/88085'>23 Roadkill</a>
23_Ways_to_Hell,Spain,Sludge/Groove Metal,<a href='https://www.metal-archives.com/bands/23_Ways_to_Hell/3540323275'>23 Ways to Hell</a>
237,United States,Thrash/Groove Metal,<a href='https://www.metal-archives.com/bands/237/3540271263'>237</a>
23rd_Grade_of_Evil,Switzerland,Thrash Metal,<a href='https://www.metal-archives.com/bands/23rd_Grade_of_Evil/3540288317'>23rd Grade of Evil</a>
24Gore,United States,Thrash Metal,<a href='https://www.metal-archives.com/bands/24Gore/3540427237'>24Gore</a>
24Unity,Canada,Progressive Metal/Rock,<a href='https://www.metal-archives.com/bands/24Unity/3540323794'>24Unity</a>
26_Beers,United States,Thrash Metal/Crossover,<a href='https://www.metal-archives.com/bands/26_Beers/128819'>26 Beers</a>
27_North,United States,Heavy Metal,<a href='https://www.metal-archives.com/bands/27_North/3540256136'>27 North</a>
3540259472'>29,France,Death Metal/Grindcore,<a href='https://www.metal-archives.com/bands/29-09/3540259472'>29/09</a>
29Jaguar,Japan,Melodic Death Metal,<a href='https://www.metal-archives.com/bands/29Jaguar/93907'>29Jaguar</a>
2Black,Switzerland,Thrash Metal,<a href='https://www.metal-archives.com/bands/2Black/3540310535'>2Black</a>
